Order_ID,Customer_ID,Order_Date,Unit_Price
1,CUST3818,8/18/2024,300.68
2,CUST9689,6/19/2024,32.89
3,CUST9147,11/21/2024,345.61
4,CUST7938,7/19/2024,444.5
5,CUST5127,10/28/2024,65.13
6,CUST4834,10/22/2024,253.38
7,CUST4649,5/1/2024,338.17
8,CUST3844,8/11/2024,270.42
9,CUST1425,5/12/2024,32.71
10,CUST3261,5/7/2024,15.32
11,CUST6670,10/8/2024,380.14
12,CUST7712,10/7/2024,47.52
13,CUST8987,11/8/2024,314.81
14,CUST9996,4/28/2024,391.53
15,CUST1446,6/12/2024,351.63
16,CUST6518,3/24/2024,458.71
17,CUST2327,11/30/2024,131.27
18,CUST3460,5/30/2024,78.16
19,CUST4050,7/8/2024,193.01
20,CUST6901,1/20/2024,491.95
21,CUST5672,2/28/2024,173.4
22,CUST2312,5/20/2024,102.99
23,CUST6575,5/25/2024,485.04
24,CUST5212,8/1/2024,49.24
25,CUST7225,6/6/2024,452.48
26,CUST6665,7/8/2024,139.77
27,CUST2433,12/3/2024,487.69
28,CUST4228,1/27/2024,451.46
29,CUST3085,3/17/2024,337.65
30,CUST5248,1/10/2024,212.23
31,CUST9075,9/27/2024,477.26
32,CUST7694,6/12/2024,367.14
33,CUST6166,7/31/2024,136.72
34,CUST6606,5/9/2024,12.38
35,CUST6857,5/5/2024,114.79
36,CUST3336,5/1/2024,345.8
37,CUST5307,5/31/2024,131.7
38,CUST7397,3/31/2024,101.11
39,CUST4063,12/21/2024,112.39
40,CUST8662,10/25/2024,176.63
41,CUST4872,7/27/2024,254.25
42,CUST3866,12/17/2024,408.29
43,CUST9814,3/31/2024,344.03
44,CUST6864,5/13/2024,391.41
45,CUST7882,8/13/2024,89.64
46,CUST2776,12/11/2024,311.02
47,CUST9232,3/29/2024,185.11
48,CUST4823,11/20/2024,462.95
49,CUST4966,10/19/2024,455.54
50,CUST5555,11/3/2024,343.02
51,CUST2909,3/1/2024,440.95
52,CUST5763,7/4/2024,303.08
53,CUST9912,12/17/2024,152.16
54,CUST6341,7/3/2024,247.61
55,CUST5835,9/15/2024,365.53
56,CUST7665,11/20/2024,93.44
57,CUST4799,9/9/2024,253.05
58,CUST9090,4/20/2024,27.58
59,CUST3474,2/5/2024,11.4
60,CUST3431,12/15/2024,407.88
61,CUST7243,10/21/2024,442.44
62,CUST8473,7/20/2024,488.09
63,CUST6452,7/18/2024,354.82
64,CUST8126,8/12/2024,261.62
65,CUST8121,3/8/2024,474.99
66,CUST2251,9/2/2024,359.26
